ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
4032243,Vaini,-21.2,-175.2,24.09,100,20,4.12,TO,1660027970
2071860,Esperance,-33.8667,121.9,11.93,68,100,8.49,AU,1660027971
4013679,Coahuayana Viejo,18.7333,-103.6833,25.58,87,100,1.21,MX,1660027973
1497337,Noril'sk,69.3535,88.2027,17.46,88,100,2.4,RU,1660027974
4030556,Rikitea,-23.1203,-134.9692,23.15,80,99,8.72,PF,1660027976
5106841,Albany,42.6001,-73.9662,25.13,86,31,2.39,US,1660027977
3833367,Ushuaia,-54.8,-68.3,3.81,70,75,2.06,AR,1660027978
1609345,Kuchinarai,16.541,104.05,25.04,89,100,1.62,TH,1660027980
5354943,Half Moon Bay,37.4636,-122.4286,18.28,85,100,8.75,US,1660027981
6165406,Thompson,55.7435,-97.8558,14.09,100,75,2.57,CA,1660027983
3448903,São João da Barra,-21.6403,-41.0511,19.71,93,15,3.33,BR,1660027985
582447,Almaznyy,48.0448,40.045,30.94,21,0,4.63,RU,1660027986
3347853,Longonjo,-12.9067,15.2533,18.94,22,3,1.6,AO,1660027988
3366880,Hermanus,-34.4187,19.2345,12.67,75,63,0.75,ZA,1660027989
5866583,Saint Paul Harbor,57.79,-152.4072,11.3,82,100,1.31,US,1660027992
5850554,Makakilo City,21.3469,-158.0858,25.87,70,0,3.6,US,1660027993
1006984,East London,-33.0153,27.9116,15.52,82,0,2.57,ZA,1660027995
1011632,De Aar,-30.6497,24.0123,11.48,61,0,1.76,ZA,1660027997
3471451,Arraial do Cabo,-22.9661,-42.0278,21.92,88,0,3.6,BR,1660027820
933995,Souillac,-20.5167,57.5167,24.21,69,40,6.17,MU,1660027999
2012593,Zeya,53.75,127.2667,14.62,93,100,1.38,RU,1660028001
935215,Saint-Philippe,-21.3585,55.7679,23.77,78,30,5.17,RE,1660028004
5848280,Kapaa,22.0752,-159.319,25.06,80,52,1.34,US,1660028005
2112802,Hasaki,35.7333,140.8333,35.16,79,100,11.61,JP,1660028006
4034551,Faanui,-16.4833,-151.75,24.8,65,100,6.45,PF,1660028008
2136825,Isangel,-19.55,169.2667,25.06,83,75,2.57,VU,1660028009
3115824,Muros,42.7762,-9.0603,19.91,83,0,1.64,ES,1660028011
4020109,Atuona,-9.8,-139.0333,25.24,70,32,7.54,PF,1660028012
